index,company_id,company_name,total,handled,valuable,ICP,domain,institution
1831,武汉铁路职业技术学院,https://www.butian.net/Company/59497,6,4,0,鄂ICP备19018129号-1,www.wru.com.cn,事业单位
1832,江苏航天信息有限公司,https://www.butian.net/Company/59495,0,0,0,N/A,N/A,N/A
1833,襄阳职业技术学院,https://www.butian.net/Company/59492,17,13,1,鄂ICP备05007907号-2,www.hbxyce.cn,事业单位
1834,北金所,https://www.butian.net/Company/59491,3,0,0,N/A,N/A,N/A
1835,内蒙古师范大学,https://www.butian.net/Company/59486,17,1,0,蒙ICP备05006581号-1,www.imnu.edu.cn,事业单位
1836,湖南外贸职业学院,https://www.butian.net/Company/59485,14,13,1,湘ICP备18002020号-1,www.hnwmxy.com,事业单位
1837,内蒙古农业大学,https://www.butian.net/Company/59484,12,0,0,蒙ICP备05000415号-1,www.imau.edu.cn,事业单位
1838,河北航天信息技术有限公司,https://www.butian.net/Company/59483,1,0,0,冀ICP备10009389号-31,www.hbzafk.com,企业
1839,珠海市惠泽网络科技有限公司,https://www.butian.net/Company/59476,1,0,0,N/A,N/A,N/A
1840,宁波天胜摄影有限公司,https://www.butian.net/Company/59474,3,1,0,N/A,N/A,N/A
1841,黑光网,https://www.butian.net/Company/59472,13,7,0,N/A,N/A,N/A
1842,朝歌数码科技,https://www.butian.net/Company/59471,9,2,0,N/A,N/A,N/A
1843,广州日滨科技发展有限公司,https://www.butian.net/Company/59469,6,2,0,N/A,N/A,N/A
1844,常德技师学院,https://www.butian.net/Company/59467,7,4,0,N/A,N/A,N/A
1845,络道科技,https://www.butian.net/Company/59466,0,0,0,N/A,N/A,N/A
1846,北京神州智联科技有限公司,https://www.butian.net/Company/59465,8,0,0,京ICP备12011677号-7,www.focuseed.cn,企业
1847,杭州电魂网络科技股份有限公司,https://www.butian.net/Company/59464,20,16,1,浙B2-20090296-16,www.m3guocdn.com,企业
1848,广州游信网络科技有限公司,https://www.butian.net/Company/59461,9,0,0,N/A,N/A,N/A
1849,天天利财科技（北京）有限公司,https://www.butian.net/Company/59459,6,0,0,N/A,N/A,N/A
1850,北京开心人信息技术有限公司,https://www.butian.net/Company/59458,39,0,0,京ICP备08005250号-4,www.feidou.com,企业
1851,聊城大学,https://www.butian.net/Company/59455,21,1,0,鲁ICP备05001955号-1,www.lcu.edu.cn,事业单位
1852,枣庄学院,https://www.butian.net/Company/59449,37,30,1,鲁ICP备14029563号-1,www.uzz.edu.cn,事业单位
1853,山东省金融办公室,https://www.butian.net/Company/59448,0,0,0,N/A,N/A,N/A
1854,上海市民办万源城协和双语学校,https://www.butian.net/Company/59446,1,0,0,沪ICP备19028669号-1,www.suis-wanyuan.com.cn,民办非企业单位
1855,蜜米柏克思（上海）商贸有限公司,https://www.butian.net/Company/59445,4,0,0,N/A,N/A,N/A
1856,济南亚爱特软件有限公司,https://www.butian.net/Company/59443,17,0,0,鲁ICP备09019130号-4,www.asiait.net,企业
1857,深圳航天信息有限公司,https://www.butian.net/Company/59442,14,13,1,粤ICP备14036066号-1,www.szhtxx.com,企业
1858,日立电梯（中国）有限公司,https://www.butian.net/Company/59441,9,8,0,粤ICP备16061798号-1,www.hitachi-helc.com,企业
1859,山东省城市银行合作联盟有限公司,https://www.butian.net/Company/59438,0,0,0,N/A,N/A,N/A
1860,湖北民族学院,https://www.butian.net/Company/59437,13,9,0,N/A,N/A,N/A
1861,首都之窗,https://www.butian.net/Company/59436,3,2,0,N/A,N/A,N/A
1862,中国铁道科学院电子技术研究所BIM事业部,https://www.butian.net/Company/59434,8,4,0,N/A,N/A,N/A
1863,畅游天下网络技术有限公司,https://www.butian.net/Company/59432,9,4,0,N/A,N/A,N/A
1864,北京讯腾智慧科技股份有限公司,https://www.butian.net/Company/59427,9,0,0,京ICP备12028782号-18,www.cnten.com,企业
1865,华北电力大学,https://www.butian.net/Company/59425,35,0,0,京ICP备14001371号-2,www.dljxjy.com,事业单位
1866,浙江大学医学院附属第四医院,https://www.butian.net/Company/59424,19,10,1,N/A,N/A,N/A
1867,免税易购,https://www.butian.net/Company/59423,11,10,1,N/A,N/A,N/A
1868,山东安云信息技术有限公司,https://www.butian.net/Company/59422,0,0,0,N/A,N/A,N/A
1869,北京理工大学珠海学院,https://www.butian.net/Company/59420,26,7,0,粤ICP备05063448号-1,www.zhbit.com,民办非企业单位
1870,浙江泰隆商业银行,https://www.butian.net/Company/59417,3,2,0,N/A,N/A,N/A
1871,湖北交运集团股份有限公司,https://www.butian.net/Company/59416,5,1,0,N/A,N/A,N/A
1872,新疆前海联合基金管理有限公司,https://www.butian.net/Company/59414,5,1,0,新ICP备17000219号-1,www.qhlhfund.com,企业
1873,江西服装学院,https://www.butian.net/Company/59413,14,14,1,赣ICP备15004462号-1,www.jift.edu.cn,民办非企业单位
1874,浙江农林大学,https://www.butian.net/Company/59407,30,26,1,浙ICP备11046845号-1,www.zafu.edu.cn,事业单位
1875,漱玉平民大药房里连锁股份有限公司,https://www.butian.net/Company/59405,41,20,1,N/A,N/A,N/A
1876,美丽加,https://www.butian.net/Company/59404,17,0,0,N/A,N/A,N/A
1877,鬼工科技(北京)有限公司,https://www.butian.net/Company/59403,3,3,0,N/A,N/A,N/A
1878,上海珍岛,https://www.butian.net/Company/59402,5,3,0,N/A,N/A,N/A
1879,100医药网,https://www.butian.net/Company/59401,10,5,0,N/A,N/A,N/A
1880,上海千杉网络技术发展有限公司,https://www.butian.net/Company/59399,3,0,0,N/A,N/A,N/A
1881,上海沃势文化传播有限公司,https://www.butian.net/Company/59396,1,0,0,N/A,N/A,N/A
1882,竞彩网,https://www.butian.net/Company/59387,1,1,0,N/A,N/A,N/A
1883,中国软件与技术服务股份有限公司,https://www.butian.net/Company/59386,31,23,1,京ICP备2021003288号-1,www.css.com.cn,企业
1884,三茅网,https://www.butian.net/Company/59383,5,0,0,N/A,N/A,N/A
1885,广州红森林信息科技有限公司,https://www.butian.net/Company/59381,2,0,0,N/A,N/A,N/A
1886,东方银谷（北京）投资管理有限公司,https://www.butian.net/Company/59180,3,2,0,N/A,N/A,N/A
1887,北京鸿达以太文化发展有限公司,https://www.butian.net/Company/58749,1,0,0,N/A,N/A,N/A
1888,微鲸科技有限公司,https://www.butian.net/Company/58748,19,0,0,沪ICP备15021291号-2,www.wekin.cn,企业
1889,神州顺利办企业发展（上海）有限公司,https://www.butian.net/Company/58596,5,0,0,N/A,N/A,N/A
1890,厦门地方税务局,https://www.butian.net/Company/58557,21,18,1,N/A,N/A,N/A
1891,君库科技,https://www.butian.net/Company/58540,11,0,0,N/A,N/A,N/A
1892,融360,https://www.butian.net/Company/58539,5,5,0,N/A,N/A,N/A
